# DESCRIPTION: File contains rout speed values for specific materials (from HEG) and specific NC operation.
# Rout speed depands on theses parameters:
# - OPERATIONS: Each tool do some NC operation
#              - PlatedRout
#              - NPlatedRout
#              - RoutBeforeEtch
#              - PrepregRout
#              - CoverlayRout
# - Tool D: tool diameter in mm
# - Tool Type: - def - default type for this rout operation. Specific tool magazine is selected from MagazineDef.xml
#              - special - Specific tool magazine is selected from MagazineSpec.xml
# - Rout speed INSIDE: Speed for all routs which are detected as rout inside pcb countour
# - Rout speed OUTLINE: Speed for all routs which are detected as countour routing
# - 1.5; 30.0; 40.5: Theses numbers are thicknesses of pcb packet. Thickness of pcb packet depands on minimal rout tool and total order pcb quantity

#=============================================================
 OPERATIONS = PlatedRout
#-------------------------------------------------------------
# Tool D | Tool type | Rout speed INSIDE  | Rout speed OUTLINE 
#        |           | Packet thickness   | Packet thickness  
#        |           | 1.5 | 3.0 | 4.5    | 1.5 | 3.0 | 4.5     
#=============================================================
 Materials = default
#-------------------------------------------------------------
0.60     ; def        ; 15;-;-             ; 15;-;-
0.70     ; def        ; 20;20;-            ; 20;20;-
0.80     ; def        ; 25;25;-            ; 25;25;-
0.90     ; def        ; 30;30;-            ; 30;30;-
1.00     ; def        ; 35;35;-            ; 35;35;-
1.10     ; def        ; 40;40;40           ; 40;40;40
1.20     ; def        ; 45;45;45           ; 45;45;45
1.30     ; def        ; 50;50;50           ; 50;50;50
1.40     ; def        ; 60;60;60           ; 60;60;60
1.50     ; def        ; 65;65;65           ; 65;65;65
1.60     ; def        ; 70;70;70           ; 70;70;70
1.70     ; def        ; 75;75;75           ; 75;75;75
1.80     ; def        ; 80;80;80           ; 80;80;80
1.90     ; def        ; 85;85;85           ; 85;85;85
2.00     ; def        ; 90;90;90           ; 90;90;90
2.00     ; d2.0a30    ; 20;-;-             ; -;-;-
2.10     ; def        ; 85;85;85           ; 85;85;85
2.40     ; def        ; 90;90;90           ; 90;90;90
2.50     ; def        ; 95;95;95           ; 95;95;95
2.80     ; def        ; 100;100;100        ; 100;100;100
3.00     ; def        ; 110;110;110        ; 110;110;110
6.00     ; d6.0a90    ; 15;-;-             ; -;-;-
6.00     ; d6.0a120   ; 15;-;-             ; -;-;-
6.00     ; d6.0a140   ; 15;-;-             ; -;-;-
#=============================================================
 OPERATIONS = NPlatedRout
#-------------------------------------------------------------
# Tool D | Tool type | Rout speed INSIDE  | Rout speed OUTLINE 
#        |           | Packet thickness   | Packet thickness  
#        |           | 1.5 | 3.0 | 4.5    | 1.5 | 3.0 | 4.5     
#=============================================================
 Materials = default
#-------------------------------------------------------------
0.60     ; def        ; 20;-;-             ; 20;-;-
0.70     ; def        ; 20;20;-            ; 10;20;-
